# Residuals   
# Time        	p_rgh         
0.00520626    	2.669877e-01
0.0052346     	2.652046e-01
0.00526295    	2.689632e-01
0.0052913     	2.771685e-01
0.00531856    	2.764099e-01
0.00534695    	2.707780e-01
0.00537534    	2.718236e-01
0.00540374    	2.783605e-01
0.00543084    	2.743378e-01
0.0054593     	2.646840e-01
0.00548776    	2.631525e-01
0.00551621    	2.683284e-01
0.00554467    	2.727789e-01
0.00557313    	2.767404e-01
0.00560159    	2.799830e-01
0.00563005    	2.827673e-01
0.0056585     	2.847721e-01
0.00568696    	2.862964e-01
0.00571542    	2.869760e-01
0.00574388    	2.871835e-01
0.00577234    	2.865029e-01
0.00580079    	2.853816e-01
0.00582925    	2.833450e-01
0.00585771    	2.809217e-01
0.00588617    	2.775936e-01
0.00591463    	2.739436e-01
0.00594308    	2.694424e-01
0.00597154    	2.646853e-01
0.006         	2.591853e-01
0.0060303     	2.659834e-01
0.00605882    	2.790541e-01
0.00608734    	2.817390e-01
0.00611586    	2.753475e-01
0.00614534    	2.755645e-01
0.00617382    	2.783447e-01
0.00620333    	2.821287e-01
0.00623178    	2.838595e-01
0.00626024    	2.786564e-01
0.00628869    	2.674807e-01
0.00631833    	2.647077e-01
0.00634673    	2.651465e-01
0.00637642    	2.671004e-01
0.00640477    	2.665637e-01
0.00643453    	2.676190e-01
0.0064628     	2.661102e-01
0.00649265    	2.663300e-01
0.00652083    	2.638503e-01
0.00655078    	2.632903e-01
0.00657886    	2.598016e-01
0.00660894    	2.585608e-01
0.00663687    	2.540626e-01
0.00666713    	2.521983e-01
0.00669487    	2.467107e-01
0.00672538    	2.442874e-01
0.00675285    	2.377569e-01
0.00678031    	2.144060e-01
0.00680777    	1.802933e-01
0.00683523    	1.511326e-01
0.00686269    	1.262909e-01
0.00689015    	1.054959e-01
0.00691762    	8.779756e-02
0.00694508    	7.300254e-02
0.00697254    	6.081719e-02
0.007         	5.054886e-02
0.00703125    	4.696074e-02
0.00706585    	5.657759e-02
0.00710178    	8.446909e-02
0.00713632    	1.288255e-01
0.00716717    	1.728677e-01
0.00719802    	2.036221e-01
0.00722666    	2.170509e-01
0.0072564     	2.188752e-01
0.007285      	2.156892e-01
0.00731479    	2.135523e-01
0.00734334    	2.101093e-01
0.00737319    	2.076781e-01
0.00740168    	2.038510e-01
0.0074316     	2.011275e-01
0.00746002    	1.969704e-01
0.00749002    	1.940626e-01
0.00751835    	1.897040e-01
0.00754845    	1.868502e-01
0.00757667    	1.822802e-01
0.00760691    	1.793062e-01
0.00763499    	1.744375e-01
0.00766541    	1.713778e-01
0.00769582    	1.781173e-01
0.00772348    	1.787812e-01
0.0077542     	1.732932e-01
0.00778493    	1.815385e-01
0.00781181    	1.806274e-01
0.0078387     	1.520665e-01
0.00786558    	1.166913e-01
0.00789246    	8.961341e-02
0.00791935    	6.875025e-02
0.00794623    	5.297218e-02
0.00797312    	4.063674e-02
0.008         	3.128569e-02
0.0080303     	2.651508e-02
0.00806374    	2.894413e-02
0.00810119    	4.202554e-02
0.00813864    	6.957078e-02
0.0081731     	1.099840e-01
0.0082049     	1.491265e-01
0.00823435    	1.713994e-01
0.0082638     	1.761843e-01
0.00829324    	1.750223e-01
0.00832269    	1.741294e-01
0.00835214    	1.729801e-01
0.00838159    	1.718707e-01
0.00841104    	1.704049e-01
0.00844049    	1.690361e-01
0.00846993    	1.673144e-01
0.00849938    	1.657075e-01
0.00852883    	1.637613e-01
0.00855828    	1.619283e-01
0.00858773    	1.597948e-01
0.00861717    	1.577323e-01
0.00864662    	1.554469e-01
0.00867607    	1.531861e-01
0.00870552    	1.507669e-01
0.00873497    	1.483344e-01
0.00876441    	1.458250e-01
0.00879386    	1.432781e-01
0.00882331    	1.406740e-01
0.00885276    	1.380121e-01
0.00888221    	1.353025e-01
0.00891166    	1.325617e-01
0.0089411     	1.297621e-01
0.00897055    	1.269746e-01
0.009         	1.241143e-01
0.00903226    	1.307685e-01
0.00906452    	1.529880e-01
0.00909469    	1.752143e-01
0.0091239     	1.816922e-01
0.0091531     	1.761765e-01
0.00918335    	1.726366e-01
0.00921359    	1.766221e-01
0.00924272    	1.782393e-01
0.00927301    	1.771881e-01
0.00930209    	1.751491e-01
0.00933243    	1.740661e-01
0.00936146    	1.717778e-01
0.00939187    	1.705335e-01
0.00942227    	1.745189e-01
0.00945116    	1.756893e-01
0.00948165    	1.732417e-01
0.00951214    	1.775103e-01
0.00954084    	1.781499e-01
0.00957145    	1.746274e-01
0.00960002    	1.696719e-01
0.00963079    	1.664099e-01
0.00966155    	1.717977e-01
0.00968976    	1.719918e-01
0.00972078    	1.665937e-01
0.00975181    	1.731660e-01
0.00977938    	1.721716e-01
0.00980696    	1.475375e-01
0.00983454    	1.166873e-01
0.00986211    	9.252557e-02
0.00988969    	7.321355e-02
0.00991727    	5.805878e-02
0.00994485    	4.590202e-02
0.00997242    	3.632226e-02
0.01          	2.879670e-02
