#    distance   alpha.water
  2.16946e-19             1
  5.00501e-07             1
    1.001e-06             1
   1.5015e-06             1
    2.002e-06             1
   2.5025e-06             1
    3.003e-06             1
   3.5035e-06             1
    4.004e-06             1
   4.5045e-06             1
  5.00501e-06             1
  5.50551e-06             1
  6.00601e-06             1
  6.50651e-06             1
  7.00701e-06             1
  7.50751e-06             1
  8.00801e-06             1
  8.50851e-06             1
  9.00901e-06             1
  9.50951e-06             1
    1.001e-05             1
  1.05105e-05             1
   1.1011e-05             1
  1.15115e-05             1
   1.2012e-05             1
  1.25125e-05             1
   1.3013e-05             1
  1.35135e-05             1
   1.4014e-05             1
  1.45145e-05             1
   1.5015e-05             1
  1.55155e-05             1
   1.6016e-05             1
  1.65165e-05             1
   1.7017e-05             1
  1.75175e-05             1
   1.8018e-05             1
  1.85185e-05             1
   1.9019e-05             1
  1.95195e-05             1
    2.002e-05             1
  2.05205e-05             1
   2.1021e-05             1
  2.15215e-05             1
   2.2022e-05             1
  2.25225e-05             1
   2.3023e-05             1
  2.35235e-05             1
   2.4024e-05             1
  2.45245e-05             1
   2.5025e-05             1
  2.55255e-05             1
   2.6026e-05             1
  2.65265e-05             1
   2.7027e-05             1
  2.75275e-05             1
   2.8028e-05             1
  2.85285e-05             1
   2.9029e-05             1
  2.95295e-05             1
    3.003e-05             1
  3.05305e-05             1
   3.1031e-05             1
  3.15315e-05             1
   3.2032e-05             1
  3.25325e-05             1
   3.3033e-05             1
  3.35335e-05             1
   3.4034e-05             1
  3.45345e-05             1
   3.5035e-05             1
  3.55355e-05             1
   3.6036e-05             1
  3.65365e-05             1
   3.7037e-05             1
  3.75375e-05             1
   3.8038e-05             1
  3.85385e-05             1
   3.9039e-05             1
  3.95395e-05             1
    4.004e-05             1
  4.05405e-05             1
   4.1041e-05             1
  4.15415e-05             1
   4.2042e-05             1
  4.25425e-05             1
   4.3043e-05             1
  4.35435e-05             1
   4.4044e-05             1
  4.45445e-05             1
   4.5045e-05             1
  4.55455e-05             1
   4.6046e-05             1
  4.65465e-05             1
   4.7047e-05             1
  4.75475e-05             1
   4.8048e-05             1
  4.85485e-05             1
   4.9049e-05             1
  4.95495e-05             1
  5.00501e-05             1
  5.05506e-05             1
  5.10511e-05             1
  5.15516e-05             1
  5.20521e-05             1
  5.25526e-05             1
  5.30531e-05             1
  5.35536e-05             1
  5.40541e-05             1
  5.45546e-05             1
  5.50551e-05             1
  5.55556e-05             1
  5.60561e-05             1
  5.65566e-05             1
  5.70571e-05             1
  5.75576e-05             1
  5.80581e-05             1
  5.85586e-05             1
  5.90591e-05             1
  5.95596e-05             1
  6.00601e-05             1
  6.05606e-05             1
  6.10611e-05             1
  6.15616e-05             1
  6.20621e-05             1
  6.25626e-05             1
  6.30631e-05             1
  6.35636e-05             1
  6.40641e-05             1
  6.45646e-05             1
  6.50651e-05             1
  6.55656e-05             1
  6.60661e-05             1
  6.65666e-05             1
  6.70671e-05             1
  6.75676e-05             1
  6.80681e-05             1
  6.85686e-05             1
  6.90691e-05             1
  6.95696e-05             1
  7.00701e-05             1
  7.05706e-05             1
  7.10711e-05             1
  7.15716e-05             1
  7.20721e-05             1
  7.25726e-05             1
  7.30731e-05             1
  7.35736e-05             1
  7.40741e-05             1
  7.45746e-05             1
  7.50751e-05             1
  7.55756e-05             1
  7.60761e-05             1
  7.65766e-05             1
  7.70771e-05             1
  7.75776e-05             1
  7.80781e-05             1
  7.85786e-05             1
  7.90791e-05             1
  7.95796e-05             1
  8.00801e-05             1
  8.05806e-05             1
  8.10811e-05             1
  8.15816e-05             1
  8.20821e-05             1
  8.25826e-05             1
  8.30831e-05             1
  8.35836e-05             1
  8.40841e-05             1
  8.45846e-05             1
  8.50851e-05             1
  8.55856e-05             1
  8.60861e-05             1
  8.65866e-05             1
  8.70871e-05             1
  8.75876e-05             1
  8.80881e-05             1
  8.85886e-05             1
  8.90891e-05             1
  8.95896e-05             1
  9.00901e-05             1
  9.05906e-05             1
  9.10911e-05             1
  9.15916e-05             1
  9.20921e-05             1
  9.25926e-05             1
  9.30931e-05             1
  9.35936e-05             1
  9.40941e-05             1
  9.45946e-05             1
  9.50951e-05             1
  9.55956e-05             1
  9.60961e-05             1
  9.65966e-05             1
  9.70971e-05             1
  9.75976e-05             1
  9.80981e-05             1
  9.85986e-05             1
  9.90991e-05             1
  9.95996e-05             1
    0.0001001             1
  0.000100601             1
  0.000101101             1
  0.000101602             1
  0.000102102             1
  0.000102603             1
  0.000103103             1
  0.000103604             1
  0.000104104             1
  0.000104605             1
  0.000105105             1
  0.000105606             1
  0.000106106             1
  0.000106607             1
  0.000107107             1
  0.000107608             1
  0.000108108             1
  0.000108609             1
  0.000109109             1
   0.00010961             1
   0.00011011             1
  0.000110611             1
  0.000111111             1
  0.000111612             1
  0.000112112             1
  0.000112613             1
  0.000113113             1
  0.000113614             1
  0.000114114             1
  0.000114615             1
  0.000115115             1
  0.000115616             1
  0.000116116             1
  0.000116617             1
  0.000117117             1
  0.000117618             1
  0.000118118             1
  0.000118619             1
  0.000119119             1
   0.00011962             1
   0.00012012             1
  0.000120621             1
  0.000121121             1
  0.000121622             1
  0.000122122             1
  0.000122623             1
  0.000123123             1
  0.000123624             1
  0.000124124             1
  0.000124625             1
  0.000125125             1
  0.000125626             1
  0.000126126             1
  0.000126627             1
  0.000127127             1
  0.000127628             1
  0.000128128             1
  0.000128629             1
  0.000129129             1
   0.00012963             1
   0.00013013             1
  0.000130631             1
  0.000131131             1
  0.000131632             1
  0.000132132             1
  0.000132633             1
  0.000133133             1
  0.000133634             1
  0.000134134             1
  0.000134635             1
  0.000135135             1
  0.000135636             1
  0.000136136             1
  0.000136637             1
  0.000137137             1
  0.000137638             1
  0.000138138             1
  0.000138639             1
  0.000139139             1
   0.00013964             1
   0.00014014             1
  0.000140641             1
  0.000141141             1
  0.000141642             1
  0.000142142             1
  0.000142643             1
  0.000143143             1
  0.000143644             1
  0.000144144             1
  0.000144645             1
  0.000145145             1
  0.000145646             1
  0.000146146             1
  0.000146647             1
  0.000147147             1
  0.000147648             1
  0.000148148             1
  0.000148649             1
  0.000149149             1
   0.00014965             1
   0.00015015             1
  0.000150651             1
  0.000151151             1
  0.000151652             1
  0.000152152             1
  0.000152653             1
  0.000153153             1
  0.000153654             1
  0.000154154             1
  0.000154655             1
  0.000155155             1
  0.000155656             1
  0.000156156             1
  0.000156657             1
  0.000157157             1
  0.000157658             1
  0.000158158             1
  0.000158659             1
